,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
118,2011 Toyota,Camry,LE,"49,551 miles",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,22 City,32 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2108163
119,2012 Honda,Accord,LX,"93,689 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23 City,34 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/1883448
120,2014 Chevrolet,Malibu,LT,"80,501 miles",1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25 City,36 Hwy,1,"$16,590 ",https://www.carvana.com/vehicle/2159945
121,2013 Toyota,Camry,L,"71,114 miles",1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2150359
122,2014 Ford,Focus,Titanium,"39,180 miles",1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,26 City,37 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2159902
123,2014 Jeep,Grand Cherokee,Limited,"93,047 miles",0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,17 City,25 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2126896
124,2012 Honda,Civic,LX,"57,901 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2156666
125,2012 Honda,CR-V,EX-L,"41,532 miles",1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,23 City,31 Hwy,1,"$22,590 ",https://www.carvana.com/vehicle/2149574
126,2012 Mazda,MX-5 Miata,Touring,"16,779 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2116384
127,2013 BMW,3 Series,328i,"31,859 miles",1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,23 City,33 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2126886
128,2012 Toyota,Sienna,XLE,"81,569 miles",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$22,590 ",https://www.carvana.com/vehicle/2156786
129,2013 Toyota,RAV4,XLE,"104,266 miles",1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,24 City,31 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/1916504
130,2011 Toyota,Camry,SE,"52,922 miles",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,22 City,32 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2130093
131,2014 Ford,Focus,SE,"55,266 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,37 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2116637
