,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
379,2012 Volvo,XC70,3.2,"64,377 miles",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,19 City,25 Hwy,1,"$20,590 ",https://www.carvana.com/vehicle/2175958
380,2012 MINI,Countryman,Cooper S,"39,322 miles",1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25 City,32 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2121521
381,2012 Toyota,Camry,LE,"35,479 miles",1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2062879
382,2012 Scion,xB,base,"51,916 miles",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22 City,28 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2125403
383,2012 Toyota,Sienna,Limited,"82,043 miles",1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,18 City,25 Hwy,1,"$25,990 ",https://www.carvana.com/vehicle/2089738
384,2012 Honda,Civic,LX,"15,942 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,39 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2078026
385,2012 Toyota,Camry,LE,"30,093 miles",1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2086200
386,2012 Acura,MDX,base,"75,270 miles",1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,16 City,21 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2097082
387,2012 Toyota,Camry,LE,"36,604 miles",1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,25 City,35 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2041458
388,2012 Hyundai,Sonata,SE,"13,380 miles",1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,22 City,34 Hwy,1,"$19,590 ",https://www.carvana.com/vehicle/2061079
389,2012 Toyota,Avalon,base,"34,017 miles",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,19 City,28 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2142387
390,2012 Honda,CR-V,LX,"90,016 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2155243
391,2012 Honda,Fit,Sport,"61,815 miles",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,27 City,33 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2027747
392,2012 Toyota,Avalon,Limited,"42,002 miles",1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,19 City,28 Hwy,1,"$22,590 ",https://www.carvana.com/vehicle/2161087
393,2012 Ford,Mustang,Boss 302,"13,334 miles",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17 City,26 Hwy,1,"$42,990 ",https://www.carvana.com/vehicle/2155848
394,2012 Chevrolet,Corvette,Grand Sport,"13,046 miles",1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,16 City,26 Hwy,1,"$45,590 ",https://www.carvana.com/vehicle/2134695
395,2012 Chevrolet,Corvette,Grand Sport,"18,749 miles",1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,15 City,25 Hwy,1,"$44,590 ",https://www.carvana.com/vehicle/2111673
396,2012 Honda,Fit,base,"44,085 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27 City,33 Hwy,1,"$16,590 ",https://www.carvana.com/vehicle/2140928
397,2012 Lexus,IS,IS 350C,"42,961 miles",1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,19 City,27 Hwy,1,"$29,990 ",https://www.carvana.com/vehicle/2094071
398,2012 Ford,Mustang,GT,"33,269 miles",1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,18 City,25 Hwy,1,"$29,590 ",https://www.carvana.com/vehicle/2057447
399,2012 Chevrolet,Corvette,Z06,"34,319 miles",1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,15 City,24 Hwy,1,"$54,990 ",https://www.carvana.com/vehicle/1890366
400,2012 Mazda,MX-5 Miata,Grand Touring,"23,877 miles",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,21 City,28 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2100225
401,2012 Toyota,FJ Cruiser,base,"30,711 miles",1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17 City,20 Hwy,1,"$41,990 ",https://www.carvana.com/vehicle/2084166
402,2012 Mazda,MX-5 Miata,Sport,"65,608 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22 City,28 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/1947237
403,2012 Maserati,GranTurismo,S,"13,483 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,13 City,21 Hwy,1,"$47,590 ",https://www.carvana.com/vehicle/2051651
404,2012 Honda,Fit,Sport,"44,465 miles",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27 City,33 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2010683
405,2012 Toyota,Avalon,Limited,"42,002 miles",1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,19 City,28 Hwy,1,"$22,590 ",https://www.carvana.com/vehicle/2161087
406,2012 Lincoln,MKZ,Hybrid,"48,834 miles",0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,41 City,36 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2116424
407,2012 Volkswagen,Tiguan,2.0T SEL,"47,527 miles",1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,22 City,27 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2171957
408,2012 Ford,F150 SuperCrew Cab,Lariat 5 1/2 ft,"55,761 miles",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,14 City,19 Hwy,1,"$34,590 ",https://www.carvana.com/vehicle/2152237
409,2012 Lexus,RX,RX 350,"86,741 miles",1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,18 City,24 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2145757
410,2012 Toyota,Avalon,base,"34,017 miles",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,19 City,28 Hwy,1,"$21,590 ",https://www.carvana.com/vehicle/2142387
411,2012 Acura,MDX,base,"75,270 miles",1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,16 City,21 Hwy,1,"$22,990 ",https://www.carvana.com/vehicle/2097082
412,2012 Maserati,GranTurismo,base,"49,903 miles",1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,13 City,20 Hwy,1,"$46,990 ",https://www.carvana.com/vehicle/2046250
413,2012 Nissan,370Z,base,"78,181 miles",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18 City,26 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2075540
414,2012 Honda,Fit,Sport,"40,114 miles",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,27 City,33 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/1976097
415,2012 Hyundai,Sonata,Limited,"59,774 miles",1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,22 City,34 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2087504
416,2012 Toyota,Corolla,S,"43,608 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,34 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/1781461
417,2012 Subaru,Legacy,2.5i Limited,"39,747 miles",1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,23 City,31 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2148685
418,2012 Ford,Mustang,base,"10,453 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,19 City,31 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2127796
419,2012 Lexus,LS,LS 460,"49,661 miles",1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,16 City,24 Hwy,1,"$31,990 ",https://www.carvana.com/vehicle/2140312
420,2012 Ford,Mustang,base,"10,453 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,19 City,31 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2127796
421,2012 Nissan,370Z,base,"78,181 miles",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18 City,26 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2075540
422,2012 Subaru,Legacy,2.5i Limited,"39,747 miles",1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,23 City,31 Hwy,1,"$18,590 ",https://www.carvana.com/vehicle/2148685
423,2012 Ford,Fusion,SE,"64,664 miles",1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"$14,990 ",https://www.carvana.com/vehicle/1933333
424,2012 smart,fortwo,Passion Hatchback,"43,964 miles",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,34 City,38 Hwy,1,"$12,990 ",https://www.carvana.com/vehicle/2141173
425,2012 Ford,Taurus,SEL,"73,785 miles",1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,18 City,27 Hwy,1,"$16,590 ",https://www.carvana.com/vehicle/2094281
426,2012 Hyundai,Elantra,GLS,"56,350 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,38 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/1939722
427,2012 Kia,Sorento,LX,"97,258 miles",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,20 City,26 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2146102
428,2012 Chevrolet,Corvette,Grand Sport,"29,839 miles",1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,15 City,25 Hwy,1,"$45,990 ",https://www.carvana.com/vehicle/2135805
