,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,model_cat,details_cat,make_cat
7076,65103,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,18,21,28990,2014,388,177,38
7077,19318,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,19,26,28990,2014,15,690,28
7078,15042,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,42,37,17990,2013,60,547,10
7079,43154,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,17,23,25990,2014,125,629,10
7080,45899,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,17,21,31990,2014,389,475,38
7081,36131,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,14,20,51590,2014,235,778,3
7082,7969,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,15,26,44590,2013,262,205,10
7083,51837,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,18,25,45590,2014,338,566,25
7084,57671,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21,30,25590,2014,207,359,20
7085,71753,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,17,25,44590,2014,329,534,25
7086,34734,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,18,24,29990,2013,310,513,20
7087,58017,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,32,28,29990,2014,310,517,20
7088,34597,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,16,22,35990,2014,148,416,10
7089,28847,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,16,28,48990,2014,107,645,6
7090,16794,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,18,27,30990,2013,11,143,3
7091,76400,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,22,31,17990,2012,386,778,0
7092,61524,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,18,24,25990,2013,204,547,38
7093,51428,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,20,28,26990,2014,119,262,25
7094,64257,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,17,24,27590,2014,282,690,13
7095,51018,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,15,25,33590,2009,107,778,6
7096,58124,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,16,22,25990,2014,162,607,28
7097,39785,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,22,31,48990,2014,88,778,30
7098,51444,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,20,28,26990,2014,119,263,25
7099,16362,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,17,29,51590,2014,107,645,6
7100,45803,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,16,20,44990,2014,150,778,38
7101,40511,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,15,24,28590,2014,82,600,6
7102,71930,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,19,25,28590,2014,204,422,38
7103,58154,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,16,25,32990,2014,25,181,3
7104,48000,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,20,27,26990,2014,207,359,20
7105,10906,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,15,23,30590,2014,89,497,8
