,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
696,2013 BMW,5 Series,528i,"83,467 miles",1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,24 City,34 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/1997399
697,2013 Toyota,Tacoma Double Cab,5 ft,"76,266 miles",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,16 City,21 Hwy,1,"$31,590 ",https://www.carvana.com/vehicle/2110144
698,2013 Porsche,Boxster,S,"38,600 miles",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,21 City,30 Hwy,1,"$52,590 ",https://www.carvana.com/vehicle/2045581
699,2013 Porsche,Boxster,base,"14,076 miles",1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,20 City,30 Hwy,1,"$51,990 ",https://www.carvana.com/vehicle/2072493
700,2013 Maserati,GranTurismo,Sport,"37,411 miles",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,13 City,21 Hwy,1,"$45,990 ",https://www.carvana.com/vehicle/1976925
701,2013 Chevrolet,Camaro,ZL1,"22,114 miles",1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,14 City,19 Hwy,1,"$46,990 ",https://www.carvana.com/vehicle/2124093
702,2013 Jeep,Wrangler,Unlimited Sahara,"33,759 miles",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,16 City,20 Hwy,1,"$34,990 ",https://www.carvana.com/vehicle/2124264
703,2013 Audi,A5,2.0T Premium,"34,553 miles",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,20 City,30 Hwy,1,"$26,590 ",https://www.carvana.com/vehicle/2116972
704,2013 Chevrolet,Camaro,ZL1,"20,065 miles",1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,12 City,18 Hwy,1,"$42,990 ",https://www.carvana.com/vehicle/2071696
705,2013 Lexus,IS,IS 250,"17,537 miles",1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21 City,30 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2123409
706,2013 Volkswagen,Eos,Komfort,"46,582 miles",1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/1966023
707,2013 Mercedes-Benz,E-Class,E 350 4MATIC,"44,556 miles",0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,19 City,27 Hwy,1,"$25,590 ",https://www.carvana.com/vehicle/2113208
