,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,make
6271,5 Series,528i,83467,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,24,34,20990,2013,BMW
6272,Tacoma Double Cab,5 ft,76266,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,16,21,31590,2013,Toyota
6273,Boxster,S,38600,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,21,30,52590,2013,Porsche
6274,Boxster,base,14076,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,20,30,51990,2013,Porsche
6275,GranTurismo,Sport,37411,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,13,21,45990,2013,Maserati
6276,Camaro,ZL1,22114,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,14,19,46990,2013,Chevrolet
6277,Wrangler,Unlimited Sahara,33759,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,16,20,34990,2013,Jeep
6278,A5,2.0T Premium,34553,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,20,30,26590,2013,Audi
6279,IS,IS 250,17537,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,21,30,27590,2013,Lexus
6280,Eos,Komfort,46582,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,22,30,18990,2013,Volkswagen
6281,Hardtop,Cooper,70243,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28,36,15590,2013,MINI
6282,Sierra 2500 HD Crew Cab,Denali 6 1/2 ft,63158,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,44990,2013,GMC
6283,GranTurismo,Sport,52992,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,13,21,45590,2013,Maserati
6284,Fit,base,76220,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,27,33,15590,2013,Honda
6285,Beetle,2.5L,55463,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,27,22990,2013,Volkswagen
6286,Corolla,S,79962,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,34,17590,2013,Toyota
6287,Roadster,Cooper S,78863,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,26,35,16990,2013,MINI
6288,ES,ES 350,64877,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,21,31,24590,2013,Lexus
6289,SLK-Class,SLK 250,70682,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,23,33,24990,2013,Mercedes-Benz
6290,Corolla,LE,76124,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,34,15990,2013,Toyota
6291,Corolla,LE,69011,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,34,16990,2013,Toyota
6292,Civic,LX,46438,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,28,39,17590,2013,Honda
6293,Accord,LX,81560,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,27,36,16990,2013,Honda
6294,Escape,SE,54093,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23,33,17590,2013,Ford
6295,Golf,TDI,62635,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,30,42,17990,2013,Volkswagen
6296,Civic,EX-L,44099,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,28,39,19990,2013,Honda
6297,A5,2.0T Premium Plus,63308,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,24990,2013,Audi
6298,Civic,EX,54197,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,39,18990,2013,Honda
6299,Passat,2.5L SE,59467,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,22,31,16990,2013,Volkswagen
6300,Cruze,LT,84875,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,26,38,13990,2013,Chevrolet
6301,Tiguan,2.0T S 4Motion,26352,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,20,26,20990,2013,Volkswagen
6302,1 Series,128i,35137,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,18,28,23990,2013,BMW
6303,Sonata,Limited,79904,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,22,34,17590,2013,Hyundai
6304,Fit,base,59732,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,33,16990,2013,Honda
6305,Jetta,2.0L S,60324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,29,15590,2013,Volkswagen
6306,Roadster,Cooper S,62231,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,26,34,18990,2013,MINI
6307,G,G37x,54526,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,18,25,20990,2013,INFINITI
6308,Accord,Sport,45629,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,27,36,20590,2013,Honda
